v1,v1,v3,v8,31,0.8
v2,v2,v1,v1,16,0.14
v3,v3,v2,v2,46,0.47
v4,v4,v2,v3,39,0.03
v5,v5,v3,v4,82,0.6
v6,v6,v2,v5,95,1.2
v7,v7,v3,v6,48,0.75
v8,v8,?,v7,17,0.64
v1,v9,v3,v8,59,0.79
v9,v10,v3,v9,15,1.21
v10,v11,v2,v10,100,0.18
v11,v12,v3,v11,98,0.92
v1,v13,v3,v12,2,0.68
v12,v14,v2,v13,79,0.16
v13,v15,v4,v14,10,0.3
v14,v16,v3,v15,76,0.98
v15,v15,v4,v16,63,0.68
v1,v17,v3,v17,84,0.63
v16,v18,v3,v18,25,0.16
v17,v19,v4,v19,21,0.7
v18,v20,v3,v20,30,0.16
v19,v21,v3,v21,45,0.17
v20,v22,v4,v22,78,0.15
v5,v23,v3,v4,9,0.14
v21,v24,v4,v23,8,0.11
v19,v25,v3,v21,11,0.05
v22,v26,v2,v24,82,0.54
v23,v27,v2,v25,19,0.14
v1,v28,v3,v17,58,0.76
v1,v13,v3,v8,74,0.8
v24,v29,?,v26,95,0.61
v25,v30,?,v27,37,0.13
v26,v31,v3,v28,23,1.74
v1,v32,v3,v8,62,0.79
v27,v14,v2,v29,61,0.55
v1,v33,v3,v17,20,0.79
v28,v29,v3,v30,15,0.23
v29,v34,?,v31,89,0.38
v11,v12,v3,v32,10,0.16
v30,v35,v2,v33,23,0.04
v31,v36,v2,v34,70,0.25
v32,v37,v2,v35,60,0.06
v33,v17,?,v36,85,0.23
v16,v38,v3,v18,64,0.15
v34,v21,v3,v37,97,0.16
v35,v39,v5,v38,21,0.25
v36,v40,?,v39,86,0.79
v37,v41,?,v40,56,0.17
v38,v42,v4,v41,83,0.27
v39,v43,v3,v42,92,0.01
v40,v44,v3,v15,80,0.33
v41,v33,v3,v43,5,0.33
v42,v45,v3,v44,100,0.54
v43,v12,v3,v45,24,0.51
v44,v46,v3,v15,34,0.42
v16,v47,v3,v18,64,0.03
v45,v4,v2,v46,57,0.16
v46,v15,v4,v47,94,0.13
v47,v11,v2,v48,67,0.05
v48,v15,v4,v15,70,0.1
v7,v48,v3,v6,2,0.25
v49,v49,v3,v49,84,0.04
v50,v50,v4,v50,65,0.37
v51,v51,v3,v51,44,0.09
v52,v52,v3,v52,34,0.1
v53,v53,v3,v53,51,5.5
v54,v4,v2,v54,43,0.14
v19,v54,v3,v21,23,0.07
v1,v55,v3,v8,89,0.8
v1,v12,v3,v8,22,0.79
v55,v56,v3,v55,85,1.18
v56,v57,v4,v56,77,0.01
v57,v58,v4,v57,64,0.36
v58,v49,v3,v58,5,1.15
v59,v13,v3,v59,59,0.17
v60,v15,v4,v60,61,0.05
v61,v59,v3,v61,76,0.74
v10,v37,v2,v10,72,0.18
v16,v60,v3,v18,66,0.06
v62,v61,v3,v62,9,0.12
v63,v62,v5,v63,94,0.45
v16,v63,v3,v18,21,0.14
v1,v64,v3,v8,30,0.81
v64,v65,v3,v64,95,0.81
v14,v66,v3,v15,78,1.04
v1,v56,v3,v12,13,0.67
v65,v67,v2,v65,90,0.3
v66,v33,v3,v66,78,0.21
v67,v57,v4,v67,13,0.05
v68,v68,v2,v68,58,0.45
v1,v69,v3,v8,87,0.8
v69,v70,v4,v69,30,0.13
v23,v14,v2,v25,80,0.17
v32,v6,v2,v70,93,0.06
v70,v26,v2,v71,32,0.18
v23,v71,v2,v25,76,0.1
v19,v72,v3,v21,74,0.08
v71,v40,v3,v72,86,0.08
v72,v73,v2,v73,65,0.2
v73,v24,v4,v74,79,0.37
v2,v74,v2,v75,39,0.02
v74,v59,v3,v76,20,0.19
v75,v42,v4,v77,86,0.05
v16,v72,v3,v78,68,0.2
v10,v6,v2,v10,52,0.19
v48,v75,v4,v15,15,0.1
v53,v76,v3,v79,61,5.5
v76,v42,v4,v80,45,0.13
v1,v61,v3,v8,72,0.79
v1,v77,v3,v8,87,0.82
v77,v78,v2,v81,63,0.29
v2,v79,v2,v82,72,0.06
v78,v15,v4,v83,66,0.03
v1,v64,v3,v8,60,0.8
v16,v80,v3,v18,62,0.11
v44,v81,v3,v15,22,0.1
v79,v39,v5,v84,73,0.36
v16,v53,?,v18,38,0.11
v80,v3,v2,v85,42,0.18
v16,v33,v3,v78,42,0.06
v1,v10,?,v12,90,0.69
v1,v82,v3,v8,11,0.79
v23,v71,v2,v86,22,0.12
v19,v83,v3,v21,93,0.38
v81,v84,?,v87,17,0.54
v7,v48,v3,v88,95,0.09
v2,v4,v2,v89,86,0.67
v2,v78,v2,v90,32,0.03
v82,v85,v3,v91,17,0.16
v83,v68,v2,v92,61,0.59
v16,v81,v3,v18,99,0.19
v84,v86,v4,v93,30,0.49
v53,v87,?,v94,57,5.5
v85,v88,v3,v95,54,0.77
v53,v53,v3,v96,7,5.5
v1,v64,v3,v8,41,0.8
v86,v89,v3,v97,90,0.01
v53,v53,v3,v98,27,5.5
v87,v90,v2,v99,73,0.05
v78,v15,v4,v100,35,0.01
v23,v14,v2,v25,86,0.15
v88,v4,v2,v101,42,0.49
v2,v91,v4,v102,60,0.05
v7,v69,v3,v6,12,0.98
v9,v59,v3,v9,32,1.21
v1,v92,v3,v103,19,2.5
v89,v4,v2,v104,23,0.2
v16,v93,v3,v78,7,0.16
v90,v94,v6,v105,54,0.1
v91,v74,v2,v106,40,0.1
v92,v39,v5,v107,77,0.18
v2,v95,v2,v90,70,0.03
v1,v96,v3,v8,4,0.8
v93,v97,v5,v108,72,0.26
v94,v15,v4,v109,53,0.08
v95,v98,?,v110,9,0.79
v96,v99,v3,v111,31,0.23
